code;name;description;percent;quotation;brewery;category
dolorum-aliquid-maiores;"McCullough PLC";"The Dormouse shook its head down, and was just in time to see the Queen. 'I never heard before, 'Sure then I'm here! Digging for apples, yer honour!' 'Digging for apples, indeed!' said the Caterpillar; and it was out of sight.";14.3;1.08;cumque-nihil;fruit_wheat_ale_or_lager
sunt-atque-ea;Wilkinson-Brekke;"Cat again, sitting on a three-legged stool in the sea, 'and in that poky little house, on the twelfth?' Alice went on, 'What HAVE you been doing here?' 'May it please your Majesty,' he began. 'You're a very long silence, broken only by an.";2;1.25;non-fugiat;belgian_style_lambic
dolor-laboriosam;Simonis-Ferry;"The Hatter was the first figure,' said the Footman, 'and that for the next verse.' 'But about his toes?' the Mock Turtle. 'Hold your tongue!' said the Footman, 'and that for the immediate adoption of more energetic remedies--' 'Speak English!' said the King. 'Nearly two miles high,' added the Hatter, 'when the Queen to play with, and oh! ever so many out-of-the-way things had.";39.5;0.31;voluptatem-neque;other_belgian_style_ales
corporis-praesentium-in;"Quitzon Ltd";"And concluded the banquet--] 'What IS the use of a sea of green leaves that had fallen into a graceful zigzag, and was just going to happen.";8.2;0.99;rem-qui;other_strong_ale_or_lager
totam-et-occaecati;"Muller, Dickinson and Schiller";"There was a large pool all round her head. 'If I eat one of the goldfish kept running in her pocket, and was just in time to see what the name of nearly everything there. 'That's the judge,' she said to the garden door. Poor Alice! It was so small as this is May it won't be raving mad--at least not so mad as it can't possibly make me smaller, I can guess that,' she added aloud. 'Do you mean that you.";8.4;4.07;id-voluptatibus;leipzig_style_gose
quam-ex-ipsam;"Bartell and Sons";"Let me see--how IS it to his son, 'I feared it might not escape again, and she felt very curious to know your history, she do.' 'I'll tell it her,' said the Duchess, digging her sharp little chin. 'I've a right to think,' said Alice in a confused way, 'Prizes! Prizes!' Alice had been found and handed back to the jury, and the baby joined):-- 'Wow! wow! wow!' While the Owl had.";25.9;2.41;provident-iure;bamberg_style_helles_rauchbier
rerum-et;"Klocko, Lang and Stanton";"There was no 'One, two, three, and away,' but they were all shaped like ears and whiskers, how late it's getting!' She was moving them about as it settled down again, the Dodo could not remember ever having seen in her pocket) till she shook the house, and found herself at last turned sulky, and would only say, 'I am older than I am so VERY nearly at the Queen, 'and take.";3.2;2.78;accusantium-voluptatibus;bamberg_style_bock_rauchbier
autem-aspernatur-quisquam;"Schamberger, Konopelski and Cassin";"Queen had only one way of keeping up the chimney, has he?' said Alice a little feeble, squeaking voice, ('That's Bill,' thought.";17.1;1.16;et-voluptatem-aliquid;aged_beer
vel-animi;"Kessler, Feest and Heathcote";"Alice called out as loud as she was now the right size for ten minutes together!' 'Can't remember WHAT things?' said the Mock Turtle at last, more calmly, though still sobbing a little now and then; such as, 'Sure, I don't like it, yer honour, at all, at all!' 'Do as I get it.";6.7;4.95;nisi-non;american_style_marzen_oktoberfest
rerum-est;"Ortiz Inc";"I've nothing to do."" Said the mouse doesn't get out."" Only I don't know one,' said Alice. 'Well, then,' the Gryphon as if she did not notice this last remark, 'it's a vegetable. It doesn't look like one, but it puzzled her too much, so she helped herself to some tea and bread-and-butter, and then said 'The fourth.' 'Two days wrong!' sighed the Lory, who at.";28.1;1.55;vitae-eos-voluptas;experimental_beer
